scenario_id,run_number,axis,score,justification
01-cold-pickup-guardrail,1,AR1,3,"Routed correctly: new daybook entry for cold-pickup Log, followups.md updated for the open legal review, and explicit rationale for not writing to decisions.md or observations.md (no new commitment or durable pattern)."
01-cold-pickup-guardrail,1,AR2,,Non-procedure scenario; AR2 is n/a per rubric.
01-cold-pickup-guardrail,1,AR3,3,"References use relative paths with ISO-date anchors (daybook/2026-04-21.md, daybook/2026-05-17.md, followups.md, tmp/) and all resolve against the seed workspace."
01-cold-pickup-guardrail,1,AR4,3,"Creates a new dated daybook file (append-only by date) and updates the existing followup entry in-line per followups.md's lifecycle convention — re-running on a later day would just create a new daybook and re-touch the same followup, no conflict."
01-cold-pickup-guardrail,2,AR1,3,"Routed correctly with explicit rationale: today's daybook for the cold-pickup Log and guardrail restate, followups.md edited for the stale legal review, and decisions.md deferred until/unless the user overrides — matching the strict bar that decisions.md records forward commitments, not adherence to existing ones."
01-cold-pickup-guardrail,2,AR2,,Non-procedure scenario; AR2 is n/a per rubric.
01-cold-pickup-guardrail,2,AR3,3,"All cross-references are relative (AGENTS.md, followups.md, decisions.md, observations.md, daybook/2026-04-21.md, daybook/AGENTS.md, tmp/) and resolve against the seed."
01-cold-pickup-guardrail,2,AR4,3,"New dated daybook file plus an in-line edit to the existing followup row (status, expected-by, notes) — followups.md is the one file the methodology permits non-append mutation on, so the edit is within the lifecycle; re-run would idempotently land on the same shape."
01-cold-pickup-guardrail,3,AR1,3,"Routed correctly with explicit rationale (new daybook for the cold-pickup, followups.md updated and extended with two new chase entries, decisions.md left alone because 'holding to an existing commitment isn't a new decision') — matches the strict bar verbatim."
01-cold-pickup-guardrail,3,AR2,,Non-procedure scenario; AR2 is n/a per rubric.
01-cold-pickup-guardrail,3,AR3,3,"All cross-references are relative ISO-date paths (daybook/2026-04-21.md, daybook/2026-05-17.md, decisions.md, followups.md, tmp/vendor-renegotiation/email-draft.md) and resolve."
01-cold-pickup-guardrail,3,AR4,3,"Creates a new dated daybook (append-only by date) and adds new followup rows alongside the in-place status update on the legal-review row; nothing rewrites historical content, so re-running would only add or refresh, not corrupt."
01-cold-pickup-guardrail,4,AR1,3,"Routed correctly with explicit rationale: new daybook entry for the cold-pickup Log, followups.md edited to mark overdue and link the new daybook, and decisions.md explicitly declined with the methodology's strict bar named ('Promoting it to decisions.md would inflate the strict bar')."
01-cold-pickup-guardrail,4,AR2,,Non-procedure scenario; AR2 is n/a per rubric.
