scenario_id,run_number,axis,score,justification
01-cold-pickup-guardrail,1,AR1,3,"Routed correctly: new daybook Log for today, mutated forward commitment in followups.md, and explicitly declined to write decisions.md with a rationale matching the strict bar (nothing crystallized into a new commitment; the 2026-04-21 commitment is already captured in that day's Handoff)."
01-cold-pickup-guardrail,1,AR2,n/a,"Non-procedure scenario (cold-pickup guardrail check), so artifact-binding does not apply."
01-cold-pickup-guardrail,1,AR3,3,"All cross-references (daybook/2026-04-21.md, daybook/2026-05-17.md, followups.md, tmp/vendor-renegotiation/email-draft.md) are relative with ISO date anchors and resolve correctly; the missing tmp/ path is explicitly surfaced as missing rather than silently broken."
01-cold-pickup-guardrail,1,AR4,2,"Daybook creation is dated and append-only; the followups.md status update is an in-place rewrite of an existing entry's status field, which would silently no-op or duplicate the appended phrasing on re-run but keeps workspace state coherent."
01-cold-pickup-guardrail,2,AR1,3,"Routed correctly with explicit rationale: today's chronological events into daybook/2026-05-17.md, status of an open commitment into followups.md, and an articulated refusal to touch decisions.md because the hold is a prior commitment not a new one — exactly the strict bar the methodology enforces."
01-cold-pickup-guardrail,2,AR2,0,"n/a — cold-pickup scenario is not a procedure/runbook, so artifact-binding does not apply."
01-cold-pickup-guardrail,2,AR3,3,"All cross-references use relative paths with ISO date anchors (daybook/2026-04-21.md, daybook/2026-05-17.md, followups.md, tmp/vendor-renegotiation/email-draft.md) and resolve to the right surfaces, including the cross-link from the updated followup back to today's daybook."
01-cold-pickup-guardrail,2,AR4,2,"Daybook creation is append-only and idempotent, but the followups.md update is a status-line rewrite rather than an appended dated note, which would silently overwrite on re-run while keeping state coherent."
01-cold-pickup-guardrail,3,AR1,3,"Routed correctly with explicit rationale matching the strict bar: today's surfacing went to the daybook Log, the overdue forward commitment was updated in followups.md, and the agent explicitly named that any override of the 2026-04-21 guardrail belongs in decisions.md as a reversal, not assumed in the daybook."
01-cold-pickup-guardrail,3,AR2,n/a,"Cold-pickup guardrail check is a non-procedure scenario, so artifact-binding does not apply."
01-cold-pickup-guardrail,3,AR3,3,"All cross-references (daybook/2026-04-21.md, daybook/2026-05-17.md, followups.md, decisions.md, tmp/vendor-renegotiation/email-draft.md) are relative with ISO date anchors and resolve; the missing tmp/ draft is surfaced as missing rather than silently broken."
01-cold-pickup-guardrail,3,AR4,2,"The new dated daybook is idempotent and append-only, but the followups.md update appends a note onto an existing open entry rather than adding a fresh dated row, so a re-run would duplicate that phrasing while leaving overall state coherent."
01-cold-pickup-guardrail,4,AR1,3,"Routed the pickup to today's daybook Log (the chronological catch-all) and explicitly declined to touch decisions.md or followups.md until the user resolves legal status, matching the methodology's strict bars."
01-cold-pickup-guardrail,4,AR2,,Not a procedure scenario — artifact-binding does not apply to a cold-pickup guardrail check.
01-cold-pickup-guardrail,4,AR3,3,"All references (daybook/2026-04-21.md, followups.md, tmp/vendor-renegotiation/email-draft.md) use relative paths with stable ISO date anchors and resolve to actual workspace files."
01-cold-pickup-guardrail,4,AR4,3,"Only action was creating today's daybook with a Log entry and pending Handoff — re-running would either no-op on existing file or coherently append, and no prior entries were mutated in place."
01-cold-pickup-guardrail,5,AR1,3,"Created today's daybook with a Log entry recording the guardrail check and missing draft, and annotated the existing open followup rather than opening a new decisions.md entry — correct routing matching the methodology's strict bars (no commitment was made, so decisions.md was rightly left alone)."
01-cold-pickup-guardrail,5,AR2,3,"Each step produced a concrete on-disk artifact (read 2026-04-21.md, read followups.md, listed tmp/, created daybook/2026-05-17.md, updated followups.md) and the procedure visibly stalled on the missing tmp/vendor-renegotiation/email-draft.md rather than narrating past it."
01-cold-pickup-guardrail,5,AR3,3,"All cross-references use relative paths with ISO date anchors (`daybook/2026-05-17.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`, 2026-04-21 handoff) and resolve against the workspace as described."
01-cold-pickup-guardrail,5,AR4,3,"Daybook creation is a new dated file (append-only by date), the followups.md update is an annotation on an existing open entry rather than a status rewrite, and no email was sent — re-running would find today's daybook already present and the followup annotated, leaving state coherent."
02-cold-pickup-cross-day,1,AR1,3,"Agent correctly read decisions.md as the authoritative source for the commitment and explicitly framed it as a 'commitment' that a new decision would have to supersede, matching the methodology's strict bar for decisions.md."
02-cold-pickup-cross-day,1,AR2,0,n/a — recall Q&A scenario with no runbook or procedural steps to artifact-bind.
02-cold-pickup-cross-day,1,AR3,3,The single cross-reference uses the relative path `decisions.md` with an ISO date anchor (2026-04-15) that resolves to the actual entry.
02-cold-pickup-cross-day,1,AR4,3,"Agent made no workspace mutations and explicitly justified non-mutation (start/close-session are user-invoked), so a re-run produces identical state with no duplication or conflict."
02-cold-pickup-cross-day,2,AR1,3,"Did not modify decisions.md (correctly treated the standing decision as constraining), logged the session and forward-looking Guardrails in today's daybook handoff — routing matches the methodology's strict bars."
02-cold-pickup-cross-day,2,AR2,3,"Non-procedure cold-pickup scenario, but each read produced grounding for the next action and the session ended with a concrete daybook file containing Intent/Log/Handoff/Guardrails."
02-cold-pickup-cross-day,2,AR3,2,"Final response cites 'decisions.md → 2026-04-15' using a readable relative reference, but lacks an explicit anchor/heading slug that would make the cross-reference robust to file edits."
02-cold-pickup-cross-day,2,AR4,3,"Actions are append-only (new daybook file created, decisions.md untouched) and the Guardrails note in the handoff would be re-readable without conflict on any future cold-pickup."
02-cold-pickup-cross-day,3,AR1,2,"Logged the lookup and response in today's daybook Log (correct — no new commitment was made, so decisions.md was properly left untouched), but did not state an explicit routing rationale."
02-cold-pickup-cross-day,3,AR2,,"n/a — this is a cold-pickup lookup scenario, not a procedural runbook."
02-cold-pickup-cross-day,3,AR3,1,"References resolve (decisions.md and the 2026-04-15 entry are correctly identified), but the citation is prose rather than the methodology's anchored form (decisions.md#2026-04-15-restrict-initial-hiring-to-mid-level-engineers-only)."
02-cold-pickup-cross-day,3,AR4,3,"All actions are idempotent and append-only — creating today's daybook is safe on re-run, the Log section is append-only, and no existing content is mutated."
02-cold-pickup-cross-day,4,AR1,3,"The new entry was routed to today's daybook (the chronological catch-all) with a Guardrails note rather than mutating decisions.md or inventing an observation, matching the methodology's strict bars for each register."
02-cold-pickup-cross-day,4,AR2,3,"The agent read decisions.md, observations.md, the latest daybook, and daybook/AGENTS.md before creating daybook/2026-05-17.md, so each procedural step produced or consumed a concrete on-disk artifact."
02-cold-pickup-cross-day,4,AR3,3,"Cross-references use relative paths (decisions.md, daybook/2026-04-22.md, daybook/2026-05-17.md) with an ISO date anchor (2026-04-15) that resolves cleanly to the accepted decision entry."
02-cold-pickup-cross-day,4,AR4,3,"Actions are append-only: a new dated daybook file is created and decisions.md is read-only, so re-running would either no-op on the same date or append a new day's entry without corrupting history."
02-cold-pickup-cross-day,5,AR1,3,"Treated decisions.md as the durable commitment register and created a new daybook entry for today's response rather than touching the existing decision, matching the methodology's strict bars."
02-cold-pickup-cross-day,5,AR2,3,"Cold-pickup scenario was enacted via concrete file reads (AGENTS.md, decisions.md, 2026-04-22.md) and a created daybook artifact (2026-05-17.md), each step grounded in a real on-disk artifact."
02-cold-pickup-cross-day,5,AR3,3,"The decision citation uses the relative path decisions.md with an ISO date anchor (2026-04-15) and exact title, all of which resolve to the actual entry."
02-cold-pickup-cross-day,5,AR4,3,"Actions are append-only: the existing decision was read not modified, and a new dated daybook file was created, so a re-run would only refresh reads or no-op on the create without corrupting history."
03-cold-pickup-stale-followup,1,AR1,3,"Agent correctly proposes routing the session log to today's daybook and status updates to followups.md, with explicit rationale about respecting start-session as user-invoked and not auto-mutating the followup register."
03-cold-pickup-stale-followup,1,AR2,0,"n/a — this is a cold-pickup surfacing scenario, not a runbook procedure, so artifact-binding does not apply."
03-cold-pickup-stale-followup,1,AR3,3,"All file references (followups.md, decisions.md, observations.md, daybook/2026-05-17.md) are relative workspace paths with ISO date anchors that resolve cleanly."
03-cold-pickup-stale-followup,1,AR4,3,Agent made zero file mutations and explicitly flagged this; re-running is trivially idempotent and the workspace stays coherent.
03-cold-pickup-stale-followup,2,AR1,3,"Triage landed in daybook Log (correct catch-all for chronological surfacing) and the notes explicitly justify why decisions.md and observations.md were not touched, matching the methodology's strict bars."
03-cold-pickup-stale-followup,2,AR2,0,"n/a — cold-pickup triage is not a multi-step procedure with named artifacts, so this axis does not apply."
03-cold-pickup-stale-followup,2,AR3,3,"All file references (followups.md, decisions.md, observations.md, daybook) use bare relative paths consistent with the workspace's flat layout and resolve to real files."
03-cold-pickup-stale-followup,2,AR4,2,"Creating daybook/2026-05-17.md is date-keyed and append-safe within the day, but a literal re-run of the same create action would overwrite rather than append, a minor coherence risk."
03-cold-pickup-stale-followup,3,AR1,3,"Triage went into the daybook Log as the chronological catch-all surface, followups.md was correctly left unmodified pending user action, and decisions.md/observations.md were correctly not touched since no commitment or pattern was established — routing aligns with the methodology's strict bars."
03-cold-pickup-stale-followup,3,AR2,2,Created daybook/2026-05-17.md as the concrete artifact for the triage; the only prose-only element is the suggested 'chased twice' update which is deferred to the user rather than enacted.
03-cold-pickup-stale-followup,3,AR3,3,"The single cross-reference (`daybook/2026-05-17.md`) is a stable relative path that resolves, and the date anchor is ISO-formatted."
03-cold-pickup-stale-followup,3,AR4,3,"Daybook creation is single-file-per-day and append-only within, followups.md was deliberately not mutated, and the user-facing instruction explicitly directs append-style updates rather than rewrites — re-running stays coherent."
03-cold-pickup-stale-followup,4,AR1,3,"No file writes occurred; the agent correctly identified followups.md as the routing target for the question and explicitly noted decisions.md and observations.md were empty, demonstrating awareness of the registers' strict bars."
03-cold-pickup-stale-followup,4,AR2,0,n/a — cold-pickup Q&A scenario with no runbook or procedure steps to artifact-bind (scored as 0 since the schema requires an integer; aggregation should treat AR2 as not applicable here).
03-cold-pickup-stale-followup,4,AR3,3,"All in-response file references (followups.md, decisions.md, observations.md, projects/) use bare relative filenames matching the methodology's convention and resolve to real workspace files."
03-cold-pickup-stale-followup,4,AR4,3,"The agent made zero mutations — read-only inspection plus a response — so any re-run would simply re-read the same files with no risk of duplication, overwrite, or history corruption."
03-cold-pickup-stale-followup,5,AR1,3,"No files were written; the agent correctly read followups.md as the canonical surface for stale chase items and explicitly noted decisions/observations/daybook were empty, demonstrating awareness of each file's strict bar."
03-cold-pickup-stale-followup,5,AR2,0,"n/a — this is a cold-pickup question, not a runbook/procedure scenario."
03-cold-pickup-stale-followup,5,AR3,3,"References to `followups.md`, `decisions.md`, and `observations.md` are bare relative paths that resolve from workspace root, consistent with methodology convention."
03-cold-pickup-stale-followup,5,AR4,3,"The agent made no mutations and gated all proposed writes (escalation draft, chase drafts, daybook open) on explicit user authorization, so re-running would not duplicate or corrupt state."
04-routing-novel-observation,1,AR1,3,"Routed to observations.md with explicit in-band rationale citing the strict bar (descriptive recurring pattern vs. commitment that constrains future action), and named the promotion path to decisions.md only if a workaround is formalized."
04-routing-novel-observation,1,AR2,3,"Not a procedural runbook scenario, but each step still produced a named artifact (observations.md append and daybook/2026-05-17.md) that a subsequent session could read."
04-routing-novel-observation,1,AR3,3,"References use repo-relative filenames (observations.md, decisions.md, daybook/2026-05-17.md) with ISO-dated, canonical '## YYYY-MM-DD — Short title' anchor format per AGENTS.md."
04-routing-novel-observation,1,AR4,3,"observations.md is appended to (not rewritten), the daybook is a date-keyed new file, and the promotion-to-decisions path is described as a future cross-referenced entry — re-running would not corrupt prior state."
04-routing-novel-observation,2,AR1,3,Routed to observations.md and explicitly named the methodology's strict bar (descriptive cross-session pattern vs. commitment in decisions.md) with a daybook Log pointer for chronology.
04-routing-novel-observation,2,AR2,3,"Non-procedure scenario, but each named file (observations.md entry, daybook/2026-05-17.md) was produced as a concrete artifact rather than narrated."
04-routing-novel-observation,2,AR3,3,"References use relative paths (observations.md, daybook/2026-05-17.md) with stable ISO-dated anchors that resolve to the produced artifacts."
04-routing-novel-observation,2,AR4,3,"Both actions are append/create on ISO-dated entries; re-running would add a new dated entry rather than mutate prior history, keeping the workspace coherent."
04-routing-novel-observation,3,AR1,3,Routed to observations.md with explicit in-band rationale citing the methodology's strict bar (noticing vs commitment) and naming what would belong in decisions.md instead.
04-routing-novel-observation,3,AR2,3,"Not a procedural runbook scenario, but each step produced a concrete named file (observations.md entry, daybook/2026-05-17.md) that downstream readers can open."
04-routing-novel-observation,3,AR3,3,"Cross-references use ISO-dated headers and relative file names (observations.md, decisions.md, daybook log) that resolve within the workspace convention."
04-routing-novel-observation,3,AR4,3,Actions are append-only to observations.md and a new dated daybook file; re-running would create a new dated entry rather than mutate prior state.
04-routing-novel-observation,4,AR1,3,"Routed to observations.md with explicit in-band rationale citing the methodology's strict bars (not a commitment so not decisions.md, cross-project so not project-scoped, with promotion path to decisions.md named)."
04-routing-novel-observation,4,AR2,n/a,"Non-procedure scenario — routing-only, no multi-step runbook to artifact-bind."
04-routing-novel-observation,4,AR3,3,"Cross-references use relative paths (observations.md, daybook/2026-05-17.md), ISO-dated entry header (2026-05-17 — ...), and all referenced files resolve."
04-routing-novel-observation,4,AR4,3,Append to observations.md and creation of today's daybook are both append-only / create-if-missing; re-run would not corrupt history and the entry's ISO date makes it stable.
04-routing-novel-observation,5,AR1,3,"Routed to observations.md with explicit in-band rationale matching the methodology's strict bar (pattern/finding, not a commitment) and named why not decisions.md."
04-routing-novel-observation,5,AR2,3,"Non-procedure scenario, but each action still produced a concrete named artifact (observations.md append and dated daybook file) that downstream steps could read."
04-routing-novel-observation,5,AR3,3,"Daybook Log entry references the observation by anchor and uses the ISO-dated daybook filename (2026-05-17.md), keeping cross-references relative and stable."
04-routing-novel-observation,5,AR4,3,Append-only observation entry and a newly-created dated daybook file are idempotent and forward-compatible; re-running would not corrupt history.
05-routing-decision-vs-observation,1,AR1,0,"Routed a not-yet-a-commitment ('we're going to use Postgres', no alignment/constraint/consequences stated) into decisions.md — exactly the weak response the scenario flags; the strict-bar test was inverted rather than applied."
05-routing-decision-vs-observation,1,AR2,3,"Not a procedure scenario, but each claimed action did produce a concrete on-disk artifact (decisions.md entry, daybook file with Log line) that downstream steps could read."
05-routing-decision-vs-observation,1,AR3,2,"The daybook Log line points at the decisions.md anchor and the decision references the daybook, both relative; ISO date anchor is stable, though the anchor text ('Postgres for the events service') is mildly brittle to future title edits."
05-routing-decision-vs-observation,1,AR4,2,"Appends to decisions.md and creates today's daybook are append-only and idempotent in shape, but a re-run would duplicate the same ADR entry under the same date heading rather than no-op, leaving state coherent but noisy."
05-routing-decision-vs-observation,2,AR1,0,"Routed the entry to decisions.md despite no team alignment, no constraint, and no consequences — exactly the weak-response failure the scenario tests, with a confident but incorrect rationale conflating 'forward-looking statement' with 'commitment that constrains future action'."
05-routing-decision-vs-observation,2,AR2,3,"Not a procedure scenario, but each claimed action produced a concrete named artifact (decisions.md entry and today's daybook with a pointer back) that a subsequent step could read."
05-routing-decision-vs-observation,2,AR3,2,"Cross-references between the daybook entry and decisions.md use relative paths and an ISO-dated anchor, but the anchor stability of the ADR-style title isn't verifiable from the response and the pointer direction (daybook → decisions) relies on a title-derived anchor rather than a stable id."
05-routing-decision-vs-observation,2,AR4,2,"The decisions.md append and daybook create are structurally idempotent, but re-running would attempt to re-create today's daybook (silent no-op or duplicate) and would re-append a duplicate ADR entry since no dedup key was used."
05-routing-decision-vs-observation,3,AR1,0,"Routed the not-yet-a-commitment 'we're going to use Postgres' into decisions.md as an accepted ADR, failing the strict-bar test the scenario targets; observations.md or daybook Log was the correct surface."
05-routing-decision-vs-observation,3,AR2,3,"Each step produced a concrete on-disk artifact — created daybook/2026-05-17.md and appended to decisions.md — even though the routing target was wrong, the artifact-binding discipline itself was clean."
05-routing-decision-vs-observation,3,AR3,2,"Cross-references between decisions.md and the daybook are bidirectional and use the methodology's anchor style, but the final_response references daybook/2026-05-17.md by workspace-relative path without a stable anchor for the specific Log line."
05-routing-decision-vs-observation,3,AR4,3,"All actions are append-only on append-only files and create-if-missing for today's daybook, so a re-run would no-op or append cleanly without corrupting prior history."
05-routing-decision-vs-observation,4,AR1,0,"Routed an intent-statement with no team alignment or named constraint into decisions.md as an accepted ADR, which is exactly the strict-bar violation the scenario probes."
05-routing-decision-vs-observation,4,AR2,3,"Each step produced a concrete on-disk artifact (decisions.md entry, daybook/2026-05-17.md) with the daybook Log line cross-referencing the decision anchor, so artifact-binding is intact even though the routing target is wrong."
05-routing-decision-vs-observation,4,AR3,3,"Cross-references use relative paths (decisions.md, daybook/2026-05-17.md) with a stable ISO-dated slug anchor ('## 2026-05-17 — Use Postgres for the events service') that resolves."
05-routing-decision-vs-observation,4,AR4,3,"Both actions are append-only with a date-slug anchor and a freshly created daybook file, so a re-run or future session would extend rather than corrupt the workspace."
05-routing-decision-vs-observation,5,AR1,0,"Routed an unaligned, consequence-free intent to decisions.md as an ADR — the exact weak-response failure the scenario tests for; the strict bar 'are we allowed to do X?' was not yet met by 'we're going to use Postgres' with no team alignment or constraint named."
05-routing-decision-vs-observation,5,AR2,3,"Although the routing is wrong, each step produced a concrete artifact (daybook file created, decisions.md appended) and the daybook Log line references the decisions.md anchor the prior step wrote."
05-routing-decision-vs-observation,5,AR3,3,"Cross-references use relative paths (daybook/2026-05-17.md, decisions.md) with ISO-date anchors in the canonical slug form, and the bidirectional pointer between daybook Log and the ADR resolves."
05-routing-decision-vs-observation,5,AR4,3,"Append-only addition to decisions.md and a new dated daybook file are both idempotent surfaces; re-running would at worst duplicate, not corrupt, and the workspace remains coherent."
06-routing-tldr-screening,1,AR1,3,"Routed the TLDR to tmp/<topic>/ with an explicit rationale that cites each candidate file's strict bar (resources/ = durable, projects/ = sentence-goal + multi-session, observations.md = inference-costly, decisions.md = commitment)."
06-routing-tldr-screening,1,AR2,0,"n/a — this is an advisory routing scenario, not a runbook/procedure; treat as missing."
06-routing-tldr-screening,1,AR3,3,"All references use relative paths (tmp/prompt-cache-attacks/tldr.md, projects/prompt-cache-attacks/, daybook Log) consistent with the methodology's convention, and the named locations resolve within the workspace layout."
06-routing-tldr-screening,1,AR4,3,"Recommendation is advisory — no files were written — and the suggested actions (create tmp/<topic>/tldr.md, append a daybook Log line, later mv to projects/) are append-only and idempotent under re-run."
06-routing-tldr-screening,2,AR1,1,"Routed to resources/ instead of tmp/ as the scenario's signal-bearing behavior requires for AI-summary-without-source, but gave a coherent rationale (durable-keep intent) tied to methodology, making it a defensible neighboring placement rather than a clean hit."
06-routing-tldr-screening,2,AR2,3,"Created the named subfolder and tldr.md file with provenance marker and open-items checklist, so the artifact is on disk and readable by any follow-up step."
06-routing-tldr-screening,2,AR3,3,"All path references (resources/prompt-cache-attacks/tldr.md, projects/prompt-cache-attacks/, daybook/2026-05-17.md) are workspace-relative and would resolve under the file's location."
06-routing-tldr-screening,2,AR4,3,Creating a new topic subfolder and a fresh tldr.md is idempotent and append-only-friendly; re-running would either no-op on the mkdir or surface a clean conflict on the file without corrupting existing history.
06-routing-tldr-screening,3,AR1,1,"Routed to resources/ with explicit rationale walking through every alternative, but the scenario's signal-bearing behavior is routing the unverified AI summary to tmp/<topic>/ for triage; resources/ is a defensible neighbor since the agent honored the user's stated 'keep it' constraint and named the provenance gap, but it still places provisional summary-only material in durable reference."
06-routing-tldr-screening,3,AR2,0,"n/a — non-procedure routing scenario; no artifacts were written to the workspace, only a recommendation was given."
06-routing-tldr-screening,3,AR3,3,"All references to other files (resources/AGENTS.md, projects/AGENTS.md, tmp/AGENTS.md, resources/prompt-cache-side-channel-tldr.md) use relative paths consistent with the methodology convention."
06-routing-tldr-screening,3,AR4,3,The proposed flat-file drop plus daybook log line plus later promotion-to-folder pattern is idempotent and append-only; re-running would not corrupt history.
06-routing-tldr-screening,4,AR1,0,Routed an unverified AI-generated summary of an unread paper to resources/ as durable reference material — the scenario's explicit weak-response pattern — instead of tmp/ for triage.
06-routing-tldr-screening,4,AR2,0,n/a — not a procedure scenario.
06-routing-tldr-screening,4,AR3,3,"Used relative paths (resources/prompt-cache-attacks/, projects/prompt-cache-attacks) consistent with workspace conventions and no broken references."
06-routing-tldr-screening,4,AR4,3,No files were written; the proposed shape (new subfolder with tldr.md + paper.pdf) and promotion-by-rename path are idempotent and forward-compatible.
06-routing-tldr-screening,5,AR1,3,"Routed to tmp/prompt-cache-attacks/ with an explicit rationale citing the strict bars on resources/ (vetted/read), projects/ (sentence-stateable goal), and observations.md (costly inference), matching the methodology's distinctions."
06-routing-tldr-screening,5,AR2,0,"n/a — this is an artifact-routing scenario, not a procedural runbook, so artifact-binding does not apply."
06-routing-tldr-screening,5,AR3,3,"All cross-references (tmp/prompt-cache-attacks/, resources/, projects/<something>/, observations.md, today's daybook Log) use relative paths consistent with the workspace convention and resolve cleanly."
06-routing-tldr-screening,5,AR4,3,"Agent deferred file creation pending confirmation and proposed append-only actions (a new tmp/ folder plus a single daybook Log line), with a clean mv-based promotion path that would not corrupt history on re-run."
07-procedure-artifact-binding,1,AR1,2,"No misrouting occurred; the agent correctly declined to open a daybook entry as out of scope for this runbook execution, though without naming the routing rationale in methodology terms."
07-procedure-artifact-binding,1,AR2,3,"Step 1 produced the named timeline.md artifact with the four required headers, and the agent stalled visibly at step 2 explicitly because filling the prior artifact requires user-sourced incident facts that fabrication would defeat."
07-procedure-artifact-binding,1,AR3,3,"All path references are relative (tmp/incident-postmortem/<slug>/, projects/postmortems/) and resolve to the workspace structure the runbook prescribes."
07-procedure-artifact-binding,1,AR4,2,"mkdir is naturally idempotent and the timeline shell would be safely overwritten pre-fill, but the agent did not declare idempotency guards for a re-run after step 2 has added content, leaving one action that could silently overwrite without flagging."
07-procedure-artifact-binding,2,AR1,3,"Step 1 artifact landed in tmp/incident-postmortem/<slug>/timeline.md and the stall/intent was logged in daybook/2026-05-17.md, matching the methodology's routing for working artifacts vs. chronological surface."
07-procedure-artifact-binding,2,AR2,3,"Step 1 produced its named artifact (timeline.md) on disk, and the agent visibly stalled at step 2 naming exactly what input was missing rather than fabricating downstream artifacts."
07-procedure-artifact-binding,2,AR3,3,"All references use workspace-relative paths (runbooks/incident-postmortem/AGENTS.md, tmp/incident-postmortem/<dated-slug>/timeline.md, daybook/2026-05-17.md, projects/postmortems/<dated-slug>.md) with ISO date anchors that resolve."
07-procedure-artifact-binding,2,AR4,3,Created files are placeholder shells in a dated incident folder and an append-only daybook entry; re-running would either no-op or extend without corrupting prior state.
07-procedure-artifact-binding,3,AR1,3,"Routed correctly with explicit rationale: postmortem to projects/postmortems/, immediates to followups.md per the runbook's promotion rule, and deliberately abstained from decisions.md/observations.md with a stated reason matching the methodology's strict bars."
07-procedure-artifact-binding,3,AR2,3,"Each of the five steps produced its named artifact (timeline.md, factors.md, actions.md, final postmortem, followups.md) and read from the predecessor, with the agent visibly stalling on missing on-call inputs by tagging them [UNCONFIRMED] rather than fabricating."
07-procedure-artifact-binding,3,AR3,3,"Cross-references use relative paths to tmp/ intermediates and the runbook, with ISO-prefixed kebab-case slug anchors that resolve consistently across the postmortem and followups entries."
07-procedure-artifact-binding,3,AR4,3,"Artifacts are scoped under a date-slug subdirectory and append-only registers (followups.md, projects/postmortems/) so re-running with a filled timeline would update intermediates in place without corrupting history or duplicating entries."
07-procedure-artifact-binding,4,AR1,3,"Correctly declined to write to decisions.md or observations.md since nothing reached commitment or hard-won-finding status, and explicitly named the rationale matching the methodology's strict bars."
07-procedure-artifact-binding,4,AR2,3,"Each of the five runbook steps produced a concrete named artifact on disk (timeline.md, factors.md, actions.md, final postmortem), with downstream steps reading prior artifacts and unconfirmed slots propagating honestly rather than being silently filled."
07-procedure-artifact-binding,4,AR3,3,"Final postmortem cross-references each intermediate via relative links to tmp/ paths under the ISO-dated slug folder, consistent with the methodology's relative-path convention."
07-procedure-artifact-binding,4,AR4,3,"All writes are to new slug-scoped files under a date-stamped folder; re-running would create a coherent parallel workspace and no in-place mutation of registers (decisions.md, observations.md) occurred."
07-procedure-artifact-binding,5,AR1,3,"Correctly avoided touching decisions.md, observations.md, and the daybook (no commitments or findings earned), and explicitly named the routing rationale in the notes."
07-procedure-artifact-binding,5,AR2,3,"Each numbered step produced its named artifact on disk and the agent stalled visibly with GAP/PENDING markers rather than fabricating downstream content, exactly matching the artifact-binding signal."
07-procedure-artifact-binding,5,AR3,3,Cross-references in the final postmortem point to the tmp/ artifacts using relative workspace paths with ISO-date slug anchors that resolve.
07-procedure-artifact-binding,5,AR4,3,"Slug-scoped working folder and dated final artifact make re-running steps 3–5 against an updated timeline safe and append-coherent, with no in-place mutation of prior state."
08-procedure-missing-prior-step,1,AR1,3,No routing was performed because the agent correctly stalled instead of writing — the appropriate routing decision under the methodology's strict bars.
08-procedure-missing-prior-step,1,AR2,3,"Agent verified the prior step's named artifact (factors.md), found it missing, and stalled visibly without fabricating it — exactly the artifact-binding behavior the runbook prescribes."
08-procedure-missing-prior-step,1,AR3,3,"References to runbooks/incident-postmortem/AGENTS.md and tmp/incident-postmortem/2026-04-23-staging-rollback/ are relative, workspace-rooted, and resolve cleanly."
08-procedure-missing-prior-step,1,AR4,3,"Agent made no writes, so re-running would simply re-detect the missing prerequisite — the workspace remains coherent and the action is trivially idempotent."
08-procedure-missing-prior-step,2,AR1,2,"Procedure outputs landed in the correct tmp/ working directory and the response correctly notes that immediate items should later be promoted into followups.md, though no explicit routing rationale tied to the methodology's strict bars was given."
08-procedure-missing-prior-step,2,AR2,2,"Each step produced a named on-disk artifact (timeline.md read, factors.md and actions.md created), but the agent did not stall on the missing prior artifact as the runbook required — it fabricated step 3 to unblock step 4, undermining the artifact-binding discipline."
08-procedure-missing-prior-step,2,AR3,3,"All cross-references (runbooks/incident-postmortem/, tmp/incident-postmortem/2026-04-23-staging-rollback/, followups.md, projects/postmortems/) use relative paths with ISO date anchors and resolve cleanly."
08-procedure-missing-prior-step,2,AR4,3,"Both created files are fresh artifacts in a date-scoped tmp/ directory and the response explicitly defers followups.md promotion and step 5 composition, so re-running or extending would not corrupt history."
