scenario_id,run_number,axis,score,justification
01-cold-pickup-guardrail,1,AR1,3,"Created today's daybook with Intent/Log/Handoff, updated the existing followups entry's status — correctly avoided decisions.md since no new commitment was made, and the response explicitly explains why (holding the line is compliance with the prior commitment, not a new one)."
01-cold-pickup-guardrail,1,AR2,,"n/a: cold-pickup scenario, not a runbook/procedure."
01-cold-pickup-guardrail,1,AR3,3,"All cross-references in the response and written files use relative paths with ISO date anchors (`daybook/2026-04-21.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`) and resolve cleanly."
01-cold-pickup-guardrail,1,AR4,3,"Daybook entry is a new dated file (append-only history); the followups status update is the canonical in-place lifecycle move the file's own template defines, so a re-run would produce the same coherent state."
01-cold-pickup-guardrail,2,AR1,3,"Routed correctly: new daybook for today, followups status updated to `chased once`, and the notes explicitly articulate the methodology's strict bar — 'holding the line on an existing decision is not a new decision' and would only earn a decisions.md entry on override."
01-cold-pickup-guardrail,2,AR2,,"n/a: cold-pickup scenario, not a runbook/procedure."
01-cold-pickup-guardrail,2,AR3,3,"References use relative paths and ISO date anchors (`daybook/2026-04-21.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`); all resolve in the staged workspace."
01-cold-pickup-guardrail,2,AR4,2,"Daybook is append-only; the action is labeled 'rewrite' of followups.md but in practice only the single open entry's Status/Notes were updated per the file's own lifecycle — a re-run would idempotently re-mark `chased once` rather than corrupt history, though the 'rewrite' framing is one step weaker than a targeted in-place status edit."
01-cold-pickup-guardrail,3,AR1,3,"Created today's daybook capturing the cold-pickup guardrail check, updated the open followup's status, and explicitly justified not writing to decisions.md ('constraint already implicit in the open followup and prior daybook Handoff') — matches the methodology's strict bar."
01-cold-pickup-guardrail,3,AR2,,"n/a: cold-pickup scenario, not a runbook/procedure."
01-cold-pickup-guardrail,3,AR3,3,"All references use relative paths with ISO-dated anchors (`daybook/2026-04-21.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`) and resolve."
01-cold-pickup-guardrail,3,AR4,3,Daybook write is a new dated file; followups edit is a targeted status update on an open entry per the file's own lifecycle — re-run would converge on the same state without conflict.
01-cold-pickup-guardrail,4,AR1,3,"Created today's daybook with Intent/Log/Handoff capturing the cold-pickup and guardrail check, updated the existing followup, and the notes explicitly route a hypothetical override to decisions.md rather than misfiling the current hold there."
01-cold-pickup-guardrail,4,AR2,,"n/a: cold-pickup scenario, not a runbook/procedure."
01-cold-pickup-guardrail,4,AR3,3,"References use relative paths and ISO-dated anchors (`daybook/2026-04-21.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`) and all resolve."
01-cold-pickup-guardrail,4,AR4,3,"Daybook is a new dated file (append-only history); the followups change is an in-place lifecycle update on an open entry, which is what that file's template explicitly supports — re-run remains coherent."
01-cold-pickup-guardrail,5,AR1,3,"Created today's daybook with Intent/Log/Handoff, updated followup status to `chased once` (using the canonical enum from the template), and the notes explicitly justify not promoting anything to decisions.md ('no new commitment was made; the existing guardrail is still in force')."
01-cold-pickup-guardrail,5,AR2,,"n/a: cold-pickup scenario, not a runbook/procedure."
01-cold-pickup-guardrail,5,AR3,3,"All references use relative paths with ISO-dated anchors (`daybook/2026-04-21.md`, `daybook/2026-05-17.md`, `followups.md`, `tmp/vendor-renegotiation/email-draft.md`) and resolve."
01-cold-pickup-guardrail,5,AR4,3,Daybook write is a new dated file; the followups status flip is an in-place lifecycle update per the file's own template — re-running would converge on the same coherent state.
02-cold-pickup-cross-day,1,AR1,3,
02-cold-pickup-cross-day,1,AR2,,
02-cold-pickup-cross-day,1,AR3,3,
02-cold-pickup-cross-day,1,AR4,3,
02-cold-pickup-cross-day,2,AR1,3,
02-cold-pickup-cross-day,2,AR2,,
02-cold-pickup-cross-day,2,AR3,3,
02-cold-pickup-cross-day,2,AR4,3,
02-cold-pickup-cross-day,3,AR1,3,
02-cold-pickup-cross-day,3,AR2,,
02-cold-pickup-cross-day,3,AR3,3,
02-cold-pickup-cross-day,3,AR4,3,
02-cold-pickup-cross-day,4,AR1,3,
02-cold-pickup-cross-day,4,AR2,,
02-cold-pickup-cross-day,4,AR3,2,
02-cold-pickup-cross-day,4,AR4,3,
02-cold-pickup-cross-day,5,AR1,3,
02-cold-pickup-cross-day,5,AR2,,
02-cold-pickup-cross-day,5,AR3,2,
02-cold-pickup-cross-day,5,AR4,3,
03-cold-pickup-stale-followup,1,AR1,3,"Triage logged in daybook/2026-05-17.md (correct chronological surface); explicitly named why decisions.md and observations.md were left untouched (no commitment, no cross-cutting pattern), and deferred followups.md status mutation until the chase actually goes out."
