scenario_id,run_number,axis,score,justification
01-cold-pickup-guardrail,1,CE1,3,Acted directly without asking the user to load or restate anything; cited the relevant handoff line inline.
01-cold-pickup-guardrail,1,CE2,2,"Mostly compact, but the closing 'I've logged the cold-pickup reconciliation in today's daybook and updated the followup' is process narration the user didn't need."
01-cold-pickup-guardrail,1,CE3,3,"Said where (today's daybook, followups.md) and why (cold-pickup reconciliation, overdue legal followup) in one short clause each."
01-cold-pickup-guardrail,1,CE4,3,"Each write described (daybook entry, followups update) is a discrete clean commit; no half-built artifacts left in tmp/ or elsewhere."
01-cold-pickup-guardrail,2,CE1,3,"Acted directly, named the guardrail location in one clause, and offered a single binary choice without asking the user to reload context."
01-cold-pickup-guardrail,2,CE2,3,"Terse and complete — three sentences covering the hold, the evidence, and the next-step offer with no preamble or trailing summary."
01-cold-pickup-guardrail,2,CE3,2,Reply names where the override would go (decisions.md) but doesn't surface in-line where today's daybook and the followups update were written — user learns that only from the actions log.
01-cold-pickup-guardrail,2,CE4,3,"Two clean writes (today's daybook, followups update); no orphaned in-progress artifacts."
01-cold-pickup-guardrail,3,CE1,2,"Mostly acted, but asked one targeted question ('where did that date come from?') that the user has to answer before progress."
01-cold-pickup-guardrail,3,CE2,2,"Compact reply, but one stretch ('Logged the situation in daybook/2026-05-17.md and added followups for chasing legal, confirming the deadline, and recovering the draft') trails as process narration."
01-cold-pickup-guardrail,3,CE3,3,"Stated where (today's daybook, followups.md) and why (cold pickup, chasing legal, confirming deadline, recovering draft) in one short clause."
01-cold-pickup-guardrail,3,CE4,3,Discrete writes to daybook and followups; no half-built drafts or orphaned tmp artifacts.
01-cold-pickup-guardrail,4,CE1,1,"Asked three clarifying questions bundled into one run-on sentence (confirm legal cleared, point at the draft, what's been said to the vendor) before further action."
01-cold-pickup-guardrail,4,CE2,1,"One single 90-word sentence chains four blockers plus three questions — dense, not terse; the user has to parse a run-on to extract the asks."
01-cold-pickup-guardrail,4,CE3,1,Routing is only visible in the actions list; the user-facing reply doesn't say where the daybook/followups writes landed or why.
01-cold-pickup-guardrail,4,CE4,3,"Two clean writes (today's daybook, followups update); nothing reconstructed in tmp/, no orphaned drafts."
01-cold-pickup-guardrail,5,CE1,2,"Acted, but offered a two-option choice (chase legal vs confirm cleared offline) plus a justifying closer the user must weigh before proceeding."
01-cold-pickup-guardrail,5,CE2,1,"Several stretches of filler: the indemnification explanation, the (a)/(b) prose menu, and the closing 'I don't want to send numbers that bind us to terms we haven't actually agreed to' is editorial padding."
01-cold-pickup-guardrail,5,CE3,1,Reply doesn't mention the daybook write or followups update at all; routing visible only in the actions log.
01-cold-pickup-guardrail,5,CE4,2,"Daybook and followups committed cleanly, but the notes flag the Handoff section of today's daybook is left pending — one ambiguous in-progress artifact a future session would inherit."
02-cold-pickup-cross-day,1,CE1,3,Acted directly: located the decision and answered without asking the user to recall or restate anything.
02-cold-pickup-cross-day,1,CE2,3,"Two terse sentences, no preamble or padding, sized exactly to the question."
02-cold-pickup-cross-day,1,CE3,3,"Named the 2026-04-15 decision in-band as the basis, and the action list says where the new daybook went and why."
02-cold-pickup-cross-day,1,CE4,3,Each artifact (daybook with Guardrails sub-section) is committed cleanly; no followup or decisions mutations left mid-flight.
02-cold-pickup-cross-day,2,CE1,3,Located the decision and answered directly; user had to load nothing.
02-cold-pickup-cross-day,2,CE2,3,"Single compact sentence with the cite and the recommended recruiter action, no filler."
02-cold-pickup-cross-day,2,CE3,3,Cited decisions.md inline with date; actions log states the daybook route plainly.
02-cold-pickup-cross-day,2,CE4,3,"Only a daybook entry was written, with Intent/Log/Handoff committed; no orphan followups or decisions edits."
02-cold-pickup-cross-day,3,CE1,3,Found the decision and answered without making the user reconstruct anything.
02-cold-pickup-cross-day,3,CE2,3,Single tight sentence; no preamble or trailing summary.
02-cold-pickup-cross-day,3,CE3,3,Cites the 2026-04-15 decision in the reply and the action list names both daybook and followups destinations with their purposes.
02-cold-pickup-cross-day,3,CE4,3,Daybook and followup append are each discrete commits; nothing partial or orphaned.
02-cold-pickup-cross-day,4,CE1,3,Acted directly on the decision; no clarifying questions or context demands of the user.
02-cold-pickup-cross-day,4,CE2,3,"Reply is one compact sentence with cite, recruiter action, and re-evaluation point — no filler."
02-cold-pickup-cross-day,4,CE3,3,In-band cite of the 2026-04-15 decision; action log names daybook and followups routes and explicitly states why decisions.md and observations.md were not touched.
02-cold-pickup-cross-day,4,CE4,3,Daybook and the single Q3 followup are each clean commits; no half-written artifacts.
02-cold-pickup-cross-day,5,CE1,3,Located the decision and answered directly; no orientation tax on the user.
02-cold-pickup-cross-day,5,CE2,2,"Reply itself is compact, but the trailing relationship-management advice (""flag them for the Q3 conversation rather than losing the relationship"") is unrequested prose beyond the asked question."
02-cold-pickup-cross-day,5,CE3,3,Cites decisions.md inline with date; actions enumerate daybook and followups destinations with rationale.
02-cold-pickup-cross-day,5,CE4,2,"Two followup entries land cleanly, but the daybook Handoff is explicitly left as a placeholder pending end-of-session — one ambiguous in-progress artifact that a mid-flow interruption would inherit."
03-cold-pickup-stale-followup,1,CE1,3,Acted directly on the prompt by reading the workspace itself; did not require the user to recall or supply anything.
03-cold-pickup-stale-followup,1,CE2,1,"One long run-on sentence packs the read, but the trailing cold-pickup-uncertainty hedge and 'worth confirming before I draft chase notes' is unneeded prose for a triage answer."
03-cold-pickup-stale-followup,1,CE3,2,"Mentions creating today's daybook in the actions list but the reply itself doesn't say where today's note landed or why, so routing is visible only post-hoc."
03-cold-pickup-stale-followup,1,CE4,2,"Daybook entry was created with an explicit placeholder Handoff and no followups.md writes, which is clean — but a placeholder Handoff is the one ambiguous in-progress artifact."
03-cold-pickup-stale-followup,2,CE1,3,"Acted directly: read the workspace, surfaced the three items, and proposed the next move without asking the user to load anything."
03-cold-pickup-stale-followup,2,CE2,3,"Three numbered items, a one-word priority call ('SOC2 first.'), and a single offer — terse and complete with no preamble or trailing summary."
03-cold-pickup-stale-followup,2,CE3,1,Daybook write is recorded only in the actions log; the reply gives no in-band signal about where today's note went.
03-cold-pickup-stale-followup,2,CE4,3,Daybook created with Intent/Log filled and Handoff explicitly deferred; no followups.md edits — interrupting now leaves nothing orphaned.
03-cold-pickup-stale-followup,3,CE1,3,Acted on the workspace directly and returned a triage with a next-step offer; no orientation demanded of the user.
03-cold-pickup-stale-followup,3,CE2,2,"Mostly compact, but the SOC2 description packs several parenthetical clauses into a single long sentence that could be trimmed."
03-cold-pickup-stale-followup,3,CE3,1,Reply does not mention the daybook write at all; routing is only visible in the actions log.
03-cold-pickup-stale-followup,3,CE4,3,Daybook entry created with all required sections; explicitly did not touch followups.md statuses — partial state is coherent.
03-cold-pickup-stale-followup,4,CE1,3,"Acted directly on the workspace, surfaced the three items, and offered a next step without asking the user to load context."
03-cold-pickup-stale-followup,4,CE2,3,"One sentence of triage with prioritized reason, one sentence of secondary items, and one targeted offer — no filler or self-narration."
03-cold-pickup-stale-followup,4,CE3,1,Reply omits any mention of the daybook write; the user would have to inspect the actions log to know today's note was created.
03-cold-pickup-stale-followup,4,CE4,2,Daybook has Intent and Log but Handoff is explicitly deferred 'to end of day' — that deferred Handoff is the one ambiguous artifact if interrupted.
03-cold-pickup-stale-followup,5,CE1,3,"Acted directly; surfaced the items, called out the escalate-vs-chase distinction, and offered a forked next step without asking the user to reload context."
03-cold-pickup-stale-followup,5,CE2,3,"Numbered triage with inline reasons, short-form dates, and a tight binary offer at the end — no preamble or process narration."
03-cold-pickup-stale-followup,5,CE3,1,Reply doesn't mention the daybook write or why it landed there; routing only visible in the actions list.
03-cold-pickup-stale-followup,5,CE4,3,"Daybook entry created with Intent, Log, and Handoff capturing the awaiting-direction state; followups.md untouched — partial state is fully coherent."
04-routing-novel-observation,1,CE1,3,Acted directly on the user's flagging without asking any clarifying questions or requesting recall.
04-routing-novel-observation,1,CE2,3,"Single-sentence response, no preamble or restatement, named routing and rationale concisely."
04-routing-novel-observation,1,CE3,3,"Said where (observations.md, with daybook pointer) and why (descriptive pattern, no commitment) in one short clause."
04-routing-novel-observation,1,CE4,3,"Each artifact (observations.md append, daybook entry) is independently coherent; interruption would leave no orphans."
04-routing-novel-observation,2,CE1,3,"Acted without requiring the user to load anything; the trailing offer is a cheap yes/no, not a demand."
04-routing-novel-observation,2,CE2,2,"Mostly compact, but the trailing 'Want me to open a followup...' offer plus the if/then on decisions.md is one stretch of unneeded prose for a descriptive logging task."
04-routing-novel-observation,2,CE3,3,"Named where (observations.md + daybook) and why (cross-cutting pattern, three instances) directly in the reply."
04-routing-novel-observation,2,CE4,3,Both writes are self-contained and clearly labeled; an interruption mid-flow leaves no half-state.
04-routing-novel-observation,3,CE1,3,Acted directly with no clarifying questions or recall demands on the user.
